campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Brasileirão 2023 ,"02 de julho de 2023, 11:00",Corinthians,0,1,Red Bull Bragantino,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"28 de junho de 2023, 21:30",Corinthians,3,0,Liverpool,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"24 de junho de 2023, 16:00",Athletico-PR,1,0,Corinthians,"Arena da Baixada, Curitiba, PR."
Brasileirão 2023 ,"21 de junho de 2023, 20:00",Santos,0,2,Corinthians,"Vila Belmiro, Santos, SP."
Brasileirão 2023 ,"10 de junho de 2023, 18:30",Corinthians,1,1,Cuiabá,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"07 de junho de 2023, 19:00",Independiente Del Valle,3,0,Corinthians,"Estádio Banco Guayaquil, Quito, Equador."
Brasileirão 2023 ,"03 de junho de 2023, 18:30",América-MG,2,0,Corinthians,"Independência, Belo Horizonte, MG."
Copa do Brasil 2023 ,"31 de maio de 2023, 21:30",Corinthians,2,0,Atlético-MG,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"28 de maio de 2023, 16:00",Corinthians,2,0,Fluminense,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"24 de maio de 2023, 21:30",Argentinos Juniors,0,0,Corinthians,"Estádio Diego Armando Maradona, Buenos Aires, Argentina."
Brasileirão 2023 ,"21 de maio de 2023, 16:00",Flamengo,1,0,Corinthians,"Maracanã, Rio de Janeiro, RJ."
Copa do Brasil 2023 ,"17 de maio de 2023, 21:30",Atlético-MG,2,0,Corinthians,"Mineirão, Belo Horizonte, MG."
Brasileirão 2023 ,"14 de maio de 2023, 16:00",Corinthians,1,1,São Paulo,"Neo Química Arena, São Paulo, SP."
Brasileirão 2023 ,"11 de maio de 2023, 19:30",Botafogo,3,0,Corinthians,"Nilton Santos, Rio de Janeiro, RJ."
Brasileirão 2023 ,"08 de maio de 2023, 20:00",Corinthians,1,1,Fortaleza,"Neo Química Arena, São Paulo, SP."
Libertadores 2023 ,"02 de maio de 2023, 21:00",Corinthians,1,2,Independiente Del Valle,"Neo Química Arena, São Paulo, SP."
